region_2,timestep_6,value,scenario_1,parameter,technology_3
DE,h0195,0.628629875890605,scr1987,avaConv,bevFrtRoadHeavy
DE,h0196,0.6358352094190205,scr1987,avaConv,bevFrtRoadHeavy
DE,h0197,0.622714919590746,scr1987,avaConv,bevFrtRoadHeavy
DE,h0198,0.6023471197695103,scr1987,avaConv,bevFrtRoadHeavy
DE,h0199,0.5704613592836285,scr1987,avaConv,bevFrtRoadHeavy
DE,h0200,0.5425761574553869,scr1987,avaConv,bevFrtRoadHeavy
DE,h0201,0.5152039880210424,scr1987,avaConv,bevFrtRoadHeavy
DE,h0202,0.4934750736579514,scr1987,avaConv,bevFrtRoadHeavy
DE,h0203,0.46898760273088236,scr1987,avaConv,bevFrtRoadHeavy
DE,h0204,0.42525419238352535,scr1987,avaConv,bevFrtRoadHeavy
DE,h0205,0.3668370312020137,scr1987,avaConv,bevFrtRoadHeavy
DE,h0206,0.30213525277940967,scr1987,avaConv,bevFrtRoadHeavy
DE,h0207,0.26965652459547584,scr1987,avaConv,bevFrtRoadHeavy
DE,h0208,0.2769439538699303,scr1987,avaConv,bevFrtRoadHeavy
DE,h0209,0.3158592290306892,scr1987,avaConv,bevFrtRoadHeavy
DE,h0210,0.34706131321315636,scr1987,avaConv,bevFrtRoadHeavy
DE,h0211,0.3550785607311733,scr1987,avaConv,bevFrtRoadHeavy
DE,h0212,0.32775194159953625,scr1987,avaConv,bevFrtRoadHeavy
DE,h0213,0.29558726161756343,scr1987,avaConv,bevFrtRoadHeavy
DE,h0214,0.29294821933071136,scr1987,avaConv,bevFrtRoadHeavy
DE,h0215,0.34255361404001716,scr1987,avaConv,bevFrtRoadHeavy
DE,h0216,0.42542744194510496,scr1987,avaConv,bevFrtRoadHeavy
DE,h0217,0.37892792034026224,scr1987,avaConv,bevFrtRoadHeavy
DE,h0218,0.3539822128236376,scr1987,avaConv,bevFrtRoadHeavy
DE,h0219,0.3392348999880248,scr1987,avaConv,bevFrtRoadHeavy
DE,h0220,0.4708399255888951,scr1987,avaConv,bevFrtRoadHeavy
DE,h0221,0.5523503103475336,scr1987,avaConv,bevFrtRoadHeavy
DE,h0222,0.5949932052422389,scr1987,avaConv,bevFrtRoadHeavy
DE,h0223,0.5985419064586246,scr1987,avaConv,bevFrtRoadHeavy
DE,h0224,0.5783693864541832,scr1987,avaConv,bevFrtRoadHeavy
DE,h0225,0.5480731256653382,scr1987,avaConv,bevFrtRoadHeavy
DE,h0226,0.5283765871767487,scr1987,avaConv,bevFrtRoadHeavy
DE,h0227,0.5224214589407441,scr1987,avaConv,bevFrtRoadHeavy
DE,h0228,0.5246963164235332,scr1987,avaConv,bevFrtRoadHeavy
DE,h0229,0.5182925959839313,scr1987,avaConv,bevFrtRoadHeavy
DE,h0230,0.4989653477870366,scr1987,avaConv,bevFrtRoadHeavy
DE,h0231,0.46746737364279056,scr1987,avaConv,bevFrtRoadHeavy
DE,h0232,0.44087101817369634,scr1987,avaConv,bevFrtRoadHeavy
DE,h0233,0.4238763077849894,scr1987,avaConv,bevFrtRoadHeavy
DE,h0234,0.42475104646724215,scr1987,avaConv,bevFrtRoadHeavy
DE,h0235,0.43192004081325974,scr1987,avaConv,bevFrtRoadHeavy
DE,h0236,0.43001628361222455,scr1987,avaConv,bevFrtRoadHeavy
DE,h0237,0.4030413848559151,scr1987,avaConv,bevFrtRoadHeavy
DE,h0238,0.3378548176581284,scr1987,avaConv,bevFrtRoadHeavy
DE,h0239,0.2576443964683133,scr1987,avaConv,bevFrtRoadHeavy
DE,h0240,0.185615342606956,scr1987,avaConv,bevFrtRoadHeavy
GR,h0193,0.6065778193601488,scr1987,avaConv,bevFrtRoadHeavy
GR,h0194,0.6255791545866285,scr1987,avaConv,bevFrtRoadHeavy
GR,h0195,0.628629875890605,scr1987,avaConv,bevFrtRoadHeavy
GR,h0196,0.6358352094190205,scr1987,avaConv,bevFrtRoadHeavy
GR,h0197,0.622714919590746,scr1987,avaConv,bevFrtRoadHeavy
GR,h0198,0.6023471197695103,scr1987,avaConv,bevFrtRoadHeavy
GR,h0199,0.5704613592836285,scr1987,avaConv,bevFrtRoadHeavy
GR,h0200,0.5425761574553869,scr1987,avaConv,bevFrtRoadHeavy
GR,h0201,0.5152039880210424,scr1987,avaConv,bevFrtRoadHeavy
GR,h0202,0.4934750736579514,scr1987,avaConv,bevFrtRoadHeavy
GR,h0203,0.46898760273088236,scr1987,avaConv,bevFrtRoadHeavy
GR,h0204,0.42525419238352535,scr1987,avaConv,bevFrtRoadHeavy
GR,h0205,0.3668370312020137,scr1987,avaConv,bevFrtRoadHeavy
GR,h0206,0.30213525277940967,scr1987,avaConv,bevFrtRoadHeavy
GR,h0207,0.26965652459547584,scr1987,avaConv,bevFrtRoadHeavy
GR,h0208,0.2769439538699303,scr1987,avaConv,bevFrtRoadHeavy
GR,h0209,0.3158592290306892,scr1987,avaConv,bevFrtRoadHeavy
GR,h0210,0.34706131321315636,scr1987,avaConv,bevFrtRoadHeavy
GR,h0211,0.3550785607311733,scr1987,avaConv,bevFrtRoadHeavy
GR,h0212,0.32775194159953625,scr1987,avaConv,bevFrtRoadHeavy
GR,h0213,0.29558726161756343,scr1987,avaConv,bevFrtRoadHeavy
GR,h0214,0.29294821933071136,scr1987,avaConv,bevFrtRoadHeavy
GR,h0215,0.34255361404001716,scr1987,avaConv,bevFrtRoadHeavy
GR,h0216,0.42542744194510496,scr1987,avaConv,bevFrtRoadHeavy
GR,h0217,0.37892792034026224,scr1987,avaConv,bevFrtRoadHeavy
GR,h0218,0.3539822128236376,scr1987,avaConv,bevFrtRoadHeavy
GR,h0219,0.3392348999880248,scr1987,avaConv,bevFrtRoadHeavy
GR,h0220,0.4708399255888951,scr1987,avaConv,bevFrtRoadHeavy
GR,h0221,0.5523503103475336,scr1987,avaConv,bevFrtRoadHeavy
GR,h0222,0.5949932052422389,scr1987,avaConv,bevFrtRoadHeavy
GR,h0223,0.5985419064586246,scr1987,avaConv,bevFrtRoadHeavy
GR,h0224,0.5783693864541832,scr1987,avaConv,bevFrtRoadHeavy
GR,h0225,0.5480731256653382,scr1987,avaConv,bevFrtRoadHeavy
GR,h0226,0.5283765871767492,scr1987,avaConv,bevFrtRoadHeavy
GR,h0227,0.5224214589407445,scr1987,avaConv,bevFrtRoadHeavy
GR,h0228,0.5246963164235332,scr1987,avaConv,bevFrtRoadHeavy
